lambda,obj,variance,sigma,return,selected_assets
0.0,-0.009312559999999987,0.0023975332517140093,0.04896461223898346,0.009312559999999987,"2,12,13,25,29,37,38,71,74,77"
0.02040816326530612,-0.009078403627804139,0.0023862222375968458,0.048848973761961935,0.009317249999999992,"2,10,13,15,29,37,38,61,63,73"
0.04081632653061224,-0.008818016511672182,0.0023913304640313148,0.048901231723048805,0.009295009999999989,"13,18,22,27,29,37,38,53,61,69"
0.061224489795918366,-0.008579812471057244,0.0023948296393980955,0.048936996632385356,0.009295549999999982,"2,11,13,29,38,41,47,51,61,77"
0.08163265306122448,-0.00838686980082356,0.002388269939911258,0.0488699287897093,0.009344659999999987,"2,13,22,27,29,37,38,49,74,81"
0.1020408163265306,-0.008125579705092752,0.002386462890090902,0.048851436929643145,0.009320129999999986,"2,13,22,27,29,37,38,56,71,79"
0.12244897959183673,-0.00791456600450151,0.002392849296570732,0.04891675885185701,0.009352809999999961,"2,8,11,13,29,37,38,59,74,77"
0.14285714285714285,-0.00766954625305395,0.0023870762286222,0.048857714115809796,0.009345649999999974,"1,2,11,13,29,37,38,49,57,74"
0.16326530612244897,-0.007379096445674636,0.002347517169394301,0.048451183364230654,0.00927697227300516,"1,2,3,13,28,29,37,38,43,56"
0.18367346938775508,-0.007185577669714428,0.001966311744751306,0.0443431138368891,0.009244752787969218,"2,11,13,27,29,30,37,38,53,63"
0.2040816326530612,-0.0069487697600311895,0.0017356892435075827,0.041661603947850866,0.009175554119912926,"2,13,29,30,31,37,38,53,69,79"
0.22448979591836732,-0.006711500763458934,0.0015347609424371962,0.03917602509746486,0.009098576520428866,"2,9,13,29,30,38,43,59,61,77"
0.24489795918367346,-0.006532604365205346,0.0013878689141611415,0.03725411271472106,0.009101406509864747,"2,13,29,37,38,41,45,46,61,74"
0.26530612244897955,-0.006303052764432483,0.001301155731349834,0.036071536304263976,0.009049016943464987,"2,12,13,29,30,37,38,70,71,77"
0.2857142857142857,-0.006090173957362066,0.0012123368953129063,0.034818628567376206,0.009011178298432055,"1,2,3,11,12,13,15,29,37,38"
0.3061224489795918,-0.005850534833752011,0.0011610808691584868,0.034074636742869126,0.008943894702683112,"3,12,13,29,37,38,49,61,67,73"
0.32653061224489793,-0.005684349462609233,0.0011115625913680175,0.03334010484938548,0.008979337125143658,"2,13,24,29,37,38,46,68,69,73"
0.3469387755102041,-0.0054580616760825885,0.001049795777239415,0.032400552113188055,0.008915360948159902,"2,4,13,26,29,37,38,56,61,77"
0.36734693877551017,-0.005248314170272266,0.001023480940457698,0.031991888666624516,0.008890001653921923,"2,13,15,29,38,43,56,67,69,70"
0.3877551020408163,-0.005040660493886707,0.0009955353993454023,0.03155210609999596,0.008863584559600377,"6,8,13,29,30,36,37,38,68,70"
0.4081632653061224,-0.004874355037981544,0.000967979631094542,0.03111237102977756,0.008903551361482291,"2,8,11,13,15,29,38,49,74,77"
0.42857142857142855,-0.004687144334764995,0.0009642350003613269,0.031052133587908686,0.008925678836109736,"2,11,13,29,30,37,38,46,49,70"
0.44897959183673464,-0.004456510847886876,0.0009514444559213357,0.030845493283806237,0.008862992947286158,"2,12,13,29,31,37,38,56,59,81"
0.4693877551020408,-0.004235618069638034,0.0009311268139999842,0.030514370614515125,0.008806200082087049,"2,5,11,13,22,29,38,49,55,68"
0.4897959183673469,-0.004067319475300757,0.0009119972816384235,0.030199292734076132,0.008847463561962369,"2,11,13,22,27,29,31,38,46,49"
0.5102040816326531,-0.003858996545998535,0.0009137827495931949,0.03022883969975022,0.008830641645573253,"2,13,29,36,37,38,40,41,46,47"
0.5306122448979591,-0.003680887488421517,0.0008825170991012756,0.029707189350412732,0.008839518761273368,"2,11,13,29,30,37,38,46,56,69"
0.5510204081632653,-0.003484395778056671,0.000837795336576858,0.02894469444607868,0.00878890305510691,"2,8,11,13,29,37,38,49,69,73"
0.5714285714285714,-0.003251395846099756,0.0007998688891923373,0.028281953418962016,0.008653082159822547,"2,5,8,13,16,29,30,38,70,71"
0.5918367346938775,-0.0030759352528326356,0.0007675702401556508,0.027705058024765996,0.00864901821766565,"2,13,22,27,29,36,37,38,61,81"
0.6122448979591836,-0.00289045117300024,0.0007450068601123889,0.02729481379515876,0.0086306480673886,"2,12,13,22,29,37,38,45,49,73"
0.6326530612244897,-0.0026959131905747264,0.000731288950101719,0.02704235474402551,0.00859831687729527,"2,13,26,29,30,37,38,46,79,81"
0.6530612244897959,-0.0024950594188080603,0.000704997899970794,0.026551796548836278,0.008518696724744725,"13,29,31,37,38,41,47,49,53,68"
0.673469387755102,-0.0023254362582314095,0.0006875554410804919,0.026221278402863805,0.008539731638062206,"2,8,13,29,37,38,41,49,61,63"
0.6938775510204082,-0.0021361725000918945,0.000683019177037543,0.026134635582642875,0.008526340301585287,"2,11,13,28,29,37,38,43,46,69"
0.7142857142857142,-0.001953330459558687,0.0006608746524828574,0.025707482422105386,0.008488843239662546,"2,8,13,15,27,29,37,38,43,49"
0.7346938775510203,-0.0017573108236813033,0.0006499209302495069,0.02549354683541517,0.008423491065335851,"2,10,13,29,31,37,38,40,61,71"
0.7551020408163265,-0.0015805495505542024,0.0006257028803873451,0.02501405365764104,0.00838316121262397,"2,6,8,13,15,29,37,38,57,69"
0.7755102040816326,-0.0013956867394968203,0.000595717015639792,0.024407314797818134,0.008275081529968753,"2,13,29,37,38,40,41,46,49,56"
0.7959183673469387,-0.0012166808351905917,0.0005630132019712207,0.02372789923215329,0.008157487580121655,"2,8,10,13,22,29,37,38,46,59"
0.8163265306122448,-0.0010415310788908705,0.0005407258408983942,0.023253512442175144,0.008073784055732043,"2,13,29,37,38,43,49,57,70,71"
0.836734693877551,-0.0008653687888801095,0.0005147323713253171,0.022687714105332806,0.007938387234932917,"2,13,15,29,37,38,40,49,63,71"
0.8571428571428571,-0.0006979250967914791,0.00048276203230947635,0.021971846356405197,0.007782047871397208,"2,8,13,27,29,37,38,49,61,71"
0.8775510204081632,-0.0005327310433553397,0.00042899665896176716,0.020712234523627988,0.00742511290996127,"2,8,13,27,29,37,38,49,57,59"
0.8979591836734693,-0.0003787187636158416,0.00036565870313717293,0.019122204452865076,0.006929240471042361,"2,13,15,29,37,38,49,57,61,68"
0.9183673469387754,-0.000232202265923465,0.0003105564280516397,0.01762261127221615,0.006338237573143386,"2,6,8,13,15,29,37,38,49,68"
0.9387755102040816,-0.00010785679403065245,0.00024962253409352295,0.01579944727177261,0.0055892064919346686,"2,8,13,29,38,49,59,61,68,71"
0.9591836734693877,-2.0477480846421e-07,0.0001961753839048066,0.014006262310295585,0.004615138504570323,"2,4,13,29,38,49,51,61,68,71"
0.9795918367346939,9.219147762000907e-05,0.0001606218812292532,0.01267366881487966,0.0031924678956237055,"2,4,10,13,15,19,49,59,68,71"
1.0,0.00014981871397647475,0.00014981871397647475,0.01224004550549036,0.001746859945107232,"2,4,12,19,35,49,51,67,68,85"
