lambda,sigma,return
1.0,0.011698543768417172,0.0021020244893190875
0.9994997498749374,0.011698919597606298,0.002138125007331762
0.9989994997498749,0.011700085744825228,0.0021742391566325543
0.9984992496248123,0.011702026128555438,0.0022103751550919502
0.9979989994997498,0.011704697476824732,0.002246014118485329
0.9974987493746873,0.011708027606538511,0.002280860100744825
0.9969984992496247,0.011711631466321008,0.002311504683571749
0.9964982491245622,0.011715832214931509,0.002341676024011851
0.9959979989994997,0.011720683929826255,0.0023718667916610664
0.9954977488744371,0.011726466714471327,0.002403539639545028
0.9949974987493746,0.011733985971367529,0.002440378814714103
0.9944972486243121,0.011742322241643129,0.002477425268563209
0.9939969984992496,0.01175149314797053,0.0025146532991340387
0.993496748374187,0.011761444547328578,0.002551828478091279
0.9929964982491245,0.011772177701623402,0.002589058849050931
0.992496248124062,0.011782935133540288,0.002623790453584975
0.9919959979989994,0.011792882206901643,0.0026538089659198247
0.9914957478739369,0.011803553960175643,0.0026840222628288697
0.9909954977488744,0.011814803447415274,0.0027141123356932825
0.9904952476238118,0.011826754050765755,0.0027443672823257463
0.9899949974987493,0.011839375688307185,0.0027746924711101644
0.9894947473736868,0.011852651764255373,0.002805048271388673
0.9889944972486242,0.011866585415395231,0.002835442685311422
0.9884942471235617,0.01188118709121653,0.0028658972721275822
0.9879939969984992,0.011896472722751034,0.00289644456144577
0.9874937468734366,0.011912537692177068,0.0029272536590655655
0.9869934967483741,0.011929499955368936,0.0029585395542019634
0.9864932466233116,0.011947561382353518,0.002990631265246831
0.985992996498249,0.011966489418225316,0.0030230806526448323
0.9854927463731865,0.011986162019576106,0.0030556557197706446
0.984992496248124,0.012006490035713139,0.003088217045008199
0.9844922461230614,0.012027126310431062,0.0031202322494562305
0.9839919959979989,0.012047173803717753,0.0031503984215333477
0.9834917458729364,0.01206711920687419,0.003179519837587177
0.9829914957478738,0.012087340416255293,0.003208189263328526
0.9824912456228113,0.012107997076098444,0.0032366558444448636
0.9819909954977488,0.01212922933360163,0.0032651173077095806
0.9814907453726863,0.012151144893565877,0.0032937247316038335
0.9809904952476237,0.012173863190902162,0.0033226274805324696
0.9804902451225612,0.012197262366842593,0.0033516661944907322
0.9799899949974987,0.012221292733089688,0.0033807753567420542
0.9794897448724361,0.012245915233286735,0.0034099082485818735
0.9789894947473736,0.012271095828292833,0.0034390288151925465
0.9784892446223111,0.012296748707175582,0.003468044514428454
0.9779889944972485,0.012322834649243566,0.003496919914109683
0.977488744372186,0.012349342193039688,0.0035256489169165415
0.9769884942471235,0.012376351007199011,0.0035543241900599723
0.9764882441220609,0.01240389201606839,0.0035829824736623834
0.9759879939969984,0.01243198985814636,0.0036116533364119376
0.9754877438719359,0.012460651638663727,0.0036403468753239483
